,State,Avg. Precipitation,Avg. Temp,Unnamed: 3,inches of water,degrees F,level_0,index,state,state_abbr,storm_injuries,storm_deaths,lung_cancer,Unnamed: 0,index_left,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,index_right,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths),Avg. Precipitation %,Avg. Temp %,Unnamed: 3 %,inches of water %,degrees F %,level_0 %,index %,state %,state_abbr %,storm_injuries %,storm_deaths %,lung_cancer %,Unnamed: 0 %,index_left %,NO2 Mean %,NO2 1st Max Value %,NO2 AQI %,O3 Mean %,O3 1st Max Value %,O3 AQI %,SO2 Mean %,SO2 1st Max Value %,SO2 AQI %,CO Mean %,CO 1st Max Value %,CO AQI %,average_AQI %,index_right %,WEEK %,REGION %,Pneumonia and Influenza Deaths %,All Deaths %,<1 year (all cause deaths) %,1-24 years (all cause deaths) %,25-44 years %,45-64 years (all cause deaths) %,65+ years (all cause deaths) %
31,MO,4363.962025,549.4493671,,43.63962025,54.94493671,25,25,missouri,MO,107,14,62.76869565,25,430,12.54377255,27.29687898,25.75614736,0.026559143,0.041121536,35.30645129,1.979111716,5.396214204,7.634280326,0.424504191,0.646599405,6.58083259,18.81942789,1187,26.59520391,4,6.949750865,117.7498287,4.199043117,4.538971725,9.410958851,29.17612622,69.9716387,68.94180001,56.09846095,,68.94180001,56.09846095,,,,,48.85844749,37.83783784,66.15577788,,,47.01052878,63.8291396,63.50029191,29.91000538,53.71598291,54.3074579,49.59923193,88.43694062,100,68.17909063,66.28791214,72.59426167,64.13015611,,,,36.10959427,43.11182585,91.84762808,77.26723166,47.71215194,45.43000851,38.49324396
6,MT,1531.371308,437.5274262,,15.31371308,43.75274262,26,26,montana,MT,10,2,54.26458333,,,,,,,,,,,,,,,,,,,,,,,,,,12.29322352,27.60786744,,12.29322352,27.60786744,,,,,4.566210046,5.405405405,50.19086058,,,-27.51481708,-33.05238283,-33.63842709,-108.5716775,-156.7308591,-152.0178273,-4.27154789,-10.42204448,-11.38348058,-17.14124016,-28.00836203,-33.94592817,-146.8908601,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
17,NE,2464.349462,493.0322581,,24.64349462,49.30322581,27,27,nebraska,NE,7,5,45.14230769,,,,,,,,,,,,,,,,,,,,,,,,,,30.95172014,41.73705061,,30.95172014,41.73705061,,,,,3.196347032,13.51351351,33.06545458,,,-27.51481708,-33.05238283,-33.63842709,-108.5716775,-156.7308591,-152.0178273,-4.27154789,-10.42204448,-11.38348058,-17.14124016,-28.00836203,-33.94592817,-146.8908601,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
25,NV,916.675,519.75,,9.16675,51.975,28,28,nevada,NV,4,25,58.06,26,447,9.212272401,19.61157802,18.53555616,0.031535225,0.038934138,33.33881478,0.156928682,0.568886929,0.78022954,0.098260297,0.238410064,3.058969641,13.92839253,1456,26.49816664,8,16.62738316,250.7305415,3.293484488,5.796349222,18.10699036,59.87754171,163.4849293,0,48.53825793,,0,48.53825793,,,,,1.826484018,67.56756757,57.31606201,,,27.21734457,36.55262722,36.26799782,55.85572997,42.521581,42.80890312,0,0,0,2.6079195,6.759966844,15.57716816,9.287295946,,,,100,100,71.25649428,100,100,100,100
7,NH,4639.708333,442.4375,,46.39708333,44.24375,29,29,new hampshire,NH,0,0,54.84,27,464,9.258362624,19.25438348,18.08449175,0.02792901,0.039445585,33.68763129,1.366705769,3.399384928,4.384257595,0.379735096,0.547011066,5.421744429,15.39453127,,,,,,,,,,,74.45641097,28.85776461,,74.45641097,28.85776461,,,,,0,0,51.27110026,,,27.49117685,35.2848797,34.56681874,37.05261113,45.13900283,44.84733132,32.92974043,51.85490215,52.58245332,59.18103107,51.76453145,53.829239,25.72701392,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
28,NJ,4711.347826,528.8043478,,47.11347826,52.88043478,30,30,new jersey,NJ,2,0,53.82380952,28,481,16.14234022,30.64590922,28.93737512,0.023864635,0.035957945,30.7730453,2.310659218,4.98385846,5.902087903,0.392537701,0.581437362,5.652135953,17.81616107,1352,25.70997457,2,1.480144409,30.5200304,1.107423224,0.889936792,3.058464796,7.750498337,17.68773518,75.88911894,50.84311202,,75.88911894,50.84311202,,,,,0.913242009,0,49.36338828,,,68.39042061,75.71544897,75.49821944,15.86060618,27.29037908,27.81495441,58.62384754,80.88255734,74.72746443,61.75420353,56.78506104,57.5591556,52.88059076,,,,0,5.795557564,21.54852558,11.29447009,9.515620149,7.347193349,4.104407064
29,NM,1485.989189,540.5837838,,14.85989189,54.05837838,31,31,new mexico,NM,12,2,39.56363636,29,498,20.25697613,36.38107,34.18797942,0.036855107,0.047608018,40.92427125,2.531794706,4.061215556,4.753868045,0.487475457,0.78563117,7.395238492,21.8153393,1407,26.66078431,8,8.546921275,122.4498155,1.701499695,3.094487259,9.542144183,25.72313757,82.34325438,11.38563301,53.84165833,,11.38563301,53.84165833,,,,,5.479452055,5.405405405,22.59251831,,,92.83638877,96.07056386,95.30075312,83.59405767,86.9117189,87.13710413,64.64308389,63.97968106,57.97503738,80.83557168,86.56349132,85.77906134,97.72311516,,,,46.65389502,45.12244576,35.05699175,51.1516611,48.50094838,39.29252077,46.63046106
13,NY,4265.261146,472.2929936,,42.65261146,47.22929936,32,32,new york,NY,14,5,56.71129032,30,515,15.27589101,29.05556864,27.412322,0.025554888,0.036906087,31.51156658,2.698123913,5.101550686,6.717331688,0.302725407,0.461649888,4.532174973,17.54334881,1511,26.35511706,2,11.08661389,201.5713688,2.789314827,3.22861129,11.87860234,41.11442494,142.3926694,66.96789525,36.45771083,,66.96789525,36.45771083,,,,,6.392694064,13.51351351,54.78410597,,,63.24265292,70.07104483,69.74651657,24.67373242,32.14266596,32.13075529,69.17051102,83.03868636,86.62179977,43.70299274,39.31595667,39.42758125,49.8215647,,,,63.42059856,78.97006627,59.79238294,53.57655779,62.54969797,66.64964445,86.12692939
37,NC,5015.949367,586.0443038,,50.15949367,58.60443038,33,33,north carolina,NC,10,17,62.002,31,532,10.6161043,24.36275431,22.97975473,0.028138242,0.04373175,37.88355445,1.376899657,3.865960077,4.019641271,0.394414376,0.591416308,5.702103238,17.64626342,1242,26.45392954,5,10.04925936,109.8536192,2.991508057,2.920850689,8.281440641,24.2432092,71.38192994,81.98080158,65.41398441,,81.98080158,65.41398441,,,,,4.566210046,45.94594595,64.71644686,,,35.55782247,53.41540456,53.02919079,38.14356498,67.0742216,69.36763883,33.20721476,60.40258835,47.26273312,62.13139305,58.24033214,58.36809945,50.9755395,,,,56.57212573,39.73388531,64.38997355,48.01239709,40.92053941,36.66203363,39.42083873
1,ND,1832.203252,413.9593496,,18.32203252,41.39593496,34,34,north dakota,ND,3,3,43.54468085,32,549,13.30586885,25.52923495,24.12715257,0.031106631,0.04026598,34.35908285,1.800864787,2.938831753,3.354633957,0.385536415,0.567418456,5.399754208,16.8101559,,,,,,,,,,,18.30951853,21.60843172,,18.30951853,21.60843172,,,,,1.369863014,8.108108108,30.06620206,,,51.5383126,57.5554537,57.35657542,53.62100355,49.33752151,48.77118743,44.74740826,43.41753889,37.56033472,60.3470277,54.74062581,53.47322899,41.60032047,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
23,OH,3975.230159,512.1031746,,39.75230159,51.21031746,35,35,ohio,OH,219,11,60.15,33,566,13.84531981,24.7953496,23.31586442,0.033184748,0.04316759,36.97958917,2.787878882,5.156383188,6.518581862,0.496838824,0.702884897,6.901272938,18.4288271,1566,26.28999672,3,7.46076021,109.7695774,2.337170469,2.069108506,5.91428111,22.82273817,76.60421542,61.16760704,46.59169953,,61.16760704,46.59169953,,,,,100,29.72972973,61.23965519,,,54.74331087,54.95076289,54.29682077,64.45648644,64.18703153,64.08500953,71.61361221,84.04322126,83.72205724,82.7174979,74.49625899,77.78202097,59.75037496,,,,39.48320812,39.69793285,49.51125406,32.61331624,26.68718736,34.13722848,42.85570705
