Rec,State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
155,Hawaii,2003,19.649608810583672,33.5770338692966,31.766159346099236,0.03705489307341035,0.04518203139030672,38.75861446717065,3.377247180052957,5.288606313365824,6.345337063674494,0.6103237013507795,0.8974401137418911,8.76914569731353,21.409814143564475,27.0,9.0,6.60377358490566,79.41509433962264,1.8867924528301887,1.3773584905660377,3.30188679245283,13.169811320754716,59.660377358490564
156,Hawaii,2004,17.552045080778232,30.52094515906213,28.882979128132316,0.035794757431213804,0.043520875187075626,37.2957526228942,3.067306240070609,4.832738417821098,5.815332751565993,0.5731032684677061,0.8316661516558548,8.166449263084706,20.040128441419306,26.5,9.0,5.461538461538462,78.28846153846153,1.5576923076923077,1.0384615384615385,3.5,13.615384615384615,58.57692307692308
157,Hawaii,2005,15.45448135097279,27.46485644882766,25.999798910165396,0.034534621789017256,0.04185971898384454,35.83289077861775,2.757365300088261,4.376870522276373,5.285328439457491,0.5358828355846326,0.7658921895698185,7.563752828855883,18.67044273927413,26.5,9.0,6.3076923076923075,80.78846153846153,1.6730769230769231,1.2692307692307692,3.25,15.211538461538462,59.36538461538461
158,Hawaii,2006,13.356917621167348,24.40876773859319,23.11661869219847,0.03327448614682071,0.04019856278061344,34.3700289343413,2.4474243601059134,3.921002626731647,4.755324127348989,0.4986624027015591,0.7001182274837823,6.961056394627059,17.300757037128953,26.5,9.0,2.0384615384615383,66.01923076923077,1.4423076923076923,1.1538461538461537,4.0,12.365384615384615,47.05769230769231
159,Hawaii,2007,11.259353891361906,21.352679028358725,20.23343847423155,0.03201435050462416,0.03853740657738235,32.90716709006485,2.1374834201235657,3.4651347311869216,4.225319815240487,0.4614419698184856,0.634344265397746,6.358359960398236,15.93107133498378,26.392156862745097,9.0,6.372549019607843,69.88235294117646,1.4509803921568627,1.2549019607843137,3.235294117647059,12.980392156862745,50.96078431372549
160,Hawaii,2008,9.161790161556464,18.296590318124256,17.35025825626463,0.03075421486242761,0.03687625037415125,31.4443052457884,1.8275424801412177,3.009266835642196,3.6953155031319858,0.42422153693541215,0.5685703033117097,5.755663526169412,14.561385632838608,25.25,9.0,7.5,68.85416666666667,1.3125,1.2083333333333333,3.5208333333333335,12.0625,50.75
161,Hawaii,2009,7.06422643175102,15.240501607889787,14.46707803829771,0.029494079220231062,0.035215094170920155,29.981443401511953,1.5176015401588696,2.5533989400974706,3.165311191023484,0.3870011040523387,0.5027963412256734,5.152967091940589,13.191699930693435,29.153846153846153,9.0,6.461538461538462,70.88461538461539,1.6923076923076923,1.8846153846153846,3.4615384615384617,14.153846153846153,49.69230769230769
162,Hawaii,2010,4.96666270194558,12.18441289765532,11.58389782033079,0.028233943578034514,0.03355393796768907,28.5185815572355,1.207660600176522,2.0975310445527455,2.6353068789149825,0.3497806711692652,0.43702237913963704,4.550270657711765,11.822014228548259,28.125,9.0,7.375,68.20833333333333,1.625,1.625,3.7916666666666665,13.333333333333334,47.833333333333336
163,Hawaii,2011,2.8690989721401374,9.128324187420853,8.700717602363866,0.02697380793583796,0.03189278176445797,27.055719712959053,0.8977196601941743,1.64166314900802,2.1053025668064804,0.3125602382861917,0.37124841705360084,3.9475742234829423,10.452328526403086,29.0,9.0,8.461538461538462,71.94871794871794,1.5128205128205128,1.5897435897435896,3.5128205128205128,13.974358974358974,51.35897435897436
164,Hawaii,2012,2.911289573932943,8.786585365853659,8.355182926829269,0.02416360137195077,0.02921036585365865,24.739329268292682,0.8730944033917701,1.153048780487798,1.6270167279581247,0.3663390447789469,0.42293749999998154,4.218489059694061,9.735004495693534,28.127659574468087,9.0,8.680851063829786,71.87234042553192,1.2765957446808511,1.0638297872340425,3.9574468085106385,13.297872340425531,52.276595744680854
